dgrp	sex	low_extreme	mediocre	high_extreme	total_nr_phenotypes	fraction_extreme
DGRP_010	F	0.4	0.4	0.2	5	0.6000000000000001
DGRP_010	M	NA	0.8	0.2	5	0.2
DGRP_021	F	0.13432835820895522	0.7313432835820896	0.13432835820895522	67	0.26865671641791045
DGRP_021	M	0.2839506172839506	0.6790123456790124	0.037037037037037035	81	0.32098765432098764
DGRP_021	NA	0.07692307692307693	0.6730769230769231	0.25	52	0.3269230769230769
DGRP_023	F	0.2	0.8	NA	5	0.2
DGRP_023	M	NA	1	NA	5	0
DGRP_026	F	0.3188405797101449	0.6376811594202898	0.043478260869565216	69	0.3623188405797101
DGRP_026	M	0.22784810126582278	0.5949367088607594	0.17721518987341772	79	0.4050632911392405
DGRP_026	NA	0.19230769230769232	0.7115384615384616	0.09615384615384616	52	0.2884615384615385
DGRP_028	F	0.0958904109589041	0.7123287671232876	0.1917808219178082	73	0.2876712328767123
DGRP_028	M	0.15	0.7625	0.0875	80	0.2375
DGRP_028	NA	0.10416666666666667	0.8333333333333334	0.0625	48	0.16666666666666669
DGRP_031	F	0.19047619047619047	0.6190476190476191	0.19047619047619047	21	0.38095238095238093
DGRP_031	M	0.2222222222222222	0.5	0.2777777777777778	18	0.5
DGRP_031	NA	NA	1	NA	7	0
DGRP_032	F	0.24	0.64	0.12	25	0.36
DGRP_032	M	0.4090909090909091	0.5454545454545454	0.045454545454545456	22	0.4545454545454546
DGRP_032	NA	0.14285714285714285	0.42857142857142855	0.42857142857142855	7	0.5714285714285714
DGRP_038	F	0.1780821917808219	0.6986301369863014	0.1232876712328767	73	0.3013698630136986
DGRP_038	M	0.13924050632911392	0.7215189873417721	0.13924050632911392	79	0.27848101265822783
DGRP_038	NA	0.10416666666666667	0.625	0.2708333333333333	48	0.375
DGRP_040	F	0.10714285714285714	0.7321428571428571	0.16071428571428573	56	0.26785714285714285
DGRP_040	M	0.21739130434782608	0.7391304347826086	0.043478260869565216	46	0.2608695652173913
DGRP_040	NA	0.07692307692307693	0.5576923076923077	0.36538461538461536	52	0.4423076923076923
DGRP_041	F	0.016666666666666666	0.6666666666666666	0.31666666666666665	60	0.3333333333333333
DGRP_041	M	0.023809523809523808	0.7619047619047619	0.21428571428571427	42	0.23809523809523808
DGRP_041	NA	0.3617021276595745	0.5531914893617021	0.0851063829787234	47	0.4468085106382979
DGRP_042	F	0.375	0.5138888888888888	0.1111111111111111	72	0.4861111111111111
DGRP_042	M	0.358974358974359	0.48717948717948717	0.15384615384615385	78	0.5128205128205128
DGRP_042	NA	0.19230769230769232	0.7307692307692307	0.07692307692307693	52	0.2692307692307693
DGRP_045	F	0.15492957746478872	0.676056338028169	0.16901408450704225	71	0.323943661971831
DGRP_045	M	0.16883116883116883	0.6623376623376623	0.16883116883116883	77	0.33766233766233766
DGRP_045	NA	0.23076923076923078	0.6730769230769231	0.09615384615384616	52	0.3269230769230769
DGRP_048	F	0.15384615384615385	0.5769230769230769	0.2692307692307692	26	0.4230769230769231
